NSE_SYMBOL|BSE_SYMBOL|COMPANY_NAME_STD|ISIN|ICICI BLUCHIP FUND_2024-09-30_MARKET_VALUE|ICICI BLUCHIP FUND_2024-09-30_QUANTITY|ICICI BLUCHIP FUND_2024-12-31_MARKET_VALUE|ICICI BLUCHIP FUND_2024-12-31_QUANTITY
AMBUJACEM|AMBUJACEM|Ambuja Cements Ltd.|INE079A01024|||10300.26|1922408
ASIANPAINT|ASIANPAINT|Asian Paints Ltd.|INE021A01026|16660.88|500462|50337.58|2206482
AUROPHARMA|AUROPHARMA|Aurobindo Pharma Ltd.|INE406A01037|34100.03|2334499|31153.89|2334499
AXISBANK|AXISBANK|AXIS Bank Ltd.|INE238A01034|278978.88|22640714|249674.11|23450184
BAJAJ-AUTO|BAJAJ-AUTO|Bajaj Auto Limited|INE917I01010|35766.22|289700|25489.54|289700
BANKBARODA|BANKBARODA|Bank Of Baroda|INE028A01039|23182.48|9355319|34666.56|14411372
BHARTIARTL|BHARTIARTL|Bharti Airtel  Ltd.|INE397D01024|282123.41|16502788|278093.62|17514950
BIRLACORPN|BIRLACORPN|Birla Corporation Ltd.|INE340A01012|2535.39|199999|2474.99|199999
BPCL|BPCL|Bharat Petroleum Corpn. Ltd.|INE029A01011|69124.78|18684899|59395.71|20309699
CIPLA|CIPLA|Cipla Ltd.|INE059A01026|5188.76|313691|9010.67|589318
COALINDIA|COALINDIA|Coal India Limited|INE522F01014|69794.63|13681198|54748|14251724
CUMMINSIND|CUMMINSIND|Cummins India Ltd.|INE298A01020|39479.85|1037292|50448.12|1540871
DLF|DLF|DLF LIMITED|INE271C01023|79420|8872256|78424.87|9507197
DMART|DMART|Avenue Supermarts Limited|INE192R01011|63105.55|1238262|44105.04|1238262
DRREDDY|DRREDDY|Dr. Reddys Laboratories Ltd.|INE089A01031|||41497.29|2988642
GAIL|GAIL|Gail (India) Ltd.|INE129A01019|||3753.99|1965646
GILLETTE|GILLETTE|Gillette India Ltd.|INE322A01010|5405.18|63752|5656.32|59209
GPPL|GPPL|Gujarat Pipavav Port Limited|INE517F01014|5668.15|2575730|4695.04|2575730
GRASIM|GRASIM|Grasim Industries Ltd|INE047A01021|41832.5|1496396|13947.04|570968
HAL|HAL|Hindustan Aeronautics Limited|INE066F01020|38323.68|866924|36223.12|866924
HCLTECH|HCLTECH|HCL Technologies Ltd|INE860A01027|72589.6|4041512|74341.87|3877223
HDFCAMC|HDFCAMC|HDFC Asset Management Company Limited|INE127D01025|62860.67|1462114|61394.9|1462114
HDFCBANK|HDFCBANK|HDFC Bank Ltd.|INE040A01034|467149.46|26970899|576924.29|32542194
HDFCLIFE|HDFCLIFE|HDFC LIFE INSURANCE COMPANY LIMITED|INE795G01014|72696.52|10124864|65613.99|10633497
HEROMOTOCO|HEROMOTOCO|Hero MotoCorp Limited|INE158A01026|159377.56|2790028|130200.57|3129370
HINDALCO|HINDALCO|Hindalco Industries Ltd.|INE038A01020|67785.99|8964030|54003.8|8964030
HINDPETRO|HINDPETRO|Hindustan Petroleum Corporation Ltd|INE094A01015|23212.85|5269062|25750.16|6299733
HINDUNILVR|HINDUNILVR|Hindustan Unilever Ltd.|INE030A01027|||5735.87|246508
HYUNDAI|HYUNDAI|HYUNDAI MOTOR INDIA LIMITED|INE0V6F01027|||21699.86|1201476
ICICIBANK|ICICIBANK|ICICI Bank Ltd.|INE090A01021|515799.74|40518440|519304.59|40518440
ICICIGI|ICICIGI|ICICI Lombard General Insurance Company Limited|INE765G01017|||1000.69|55975
ICICIPRULI|ICICIPRULI|ICICI Prudential Life Insurance Company Limited|INE726G01019|125736.21|16116928|107616.56|16433773
INDIGO|INDIGO|InterGlobe Aviation Limited|INE646L01027|110094.02|2299638|108684.67|2386445
INFY|INFY|Infosys Ltd|INE009A01021|314554.23|16770859|315292.15|16770859
ISEC|ISEC|ICICI Securities Limited|INE763G01038|29264.92|3352608|28710.06|3352608
ITC|ITC|ITC Ltd|INE154A01025|142470.82|27496058|132984.68|27496058
LICI|LICI|LIFE INSURANCE CORPORATION OF INDIA|INE0J1Y01017|||5132.01|575338
LT|LT|Larsen & Toubro Limited|INE018A01030|412118.18|11212422|411431.63|11404422
LTIM|LTIM|LTIMindtree Limited|INE214T01019|||4216.68|75488
LUPIN|LUPIN|Lupin Ltd|INE326A01037|25585.58|1167705|23515|998217
M&M|M&M|Mahindra & Mahindra Ltd.|INE101A01026|63757.51|2060083|65203.79|2168328
MARUTI|MARUTI|Maruti Suzuki India  Ltd.|INE585B01010|301468.05|2277293|257366.77|2370209
MFSL|MFSL|Max Financial Services Limited|INE180A01020|15478.25|1299601|13576.45|1218821
MUTHOOTFIN|MUTHOOTFIN|MUTHOOT FINANCE LIMITED|INE414G01012|14232.8|700485|14963.41|700485
NHPC|NHPC|NHPC Limited|INE848E01016|||22456.8|27830953
NTPC|NTPC|NTPC Limited|INE733E01010|138086.8|31156768|128243.38|38471089
ONGC|ONGC|Oil And Natural Gas Corporation Ltd|INE213A01029|86601.47|29099956|85438.55|35710992
PGHH|PGHH|Procter & Gamble Hygiene & Health Care Ltd.|INE179A01014|60586.34|363344|58402.07|396915
POWERGRID|POWERGRID|POWER GRID CORPORATION OF INDIA LIMITED|INE752E01010|81396.1|23068189|77385.5|25068189
RELIANCE|RELIANCE|Reliance Industries Ltd|INE002A01018|308177.44|10435550|277785.74|22854559
SBILIFE|SBILIFE|SBI Life Insurance Company Limited|INE123W01016|89722.73|4865658|70540.47|5073394
SHREECEM|SHREECEM|Shree Cements Ltd.|INE070A01015|51252.89|194812|50055.38|194812
SIEMENS|SIEMENS|Siemens Ltd.|INE003A01024|50845.7|701320|42971.26|657450
SUNPHARMA|SUNPHARMA|Sun Pharmaceutical Industries Ltd.|INE044A01036|193865.79|10062064|189805.74|10062064
SYNGENE|SYNGENE|Syngene International Limited|INE398R01022|1300.19|144723|1164.24|135621
TATAMOTORS|TATAMOTORS|Tata Motors Ltd.|INE155A01022|79915|8199354|69440.24|9381915
TCS|TCS|Tata Consultancy Services Ltd.|INE467B01029|18644.81|436800|31176.01|761356
TECHM|TECHM|Tech Mahindra Limited|INE669C01036|74585.58|4728987|70209.91|4114987
TITAN|TITAN|Titan Company Limited|INE280A01028|12512.39|327211|8554.97|262975
TRENT|TRENT|Trent Ltd [Lakme Ltd]|INE849A01020|31119.01|410831||
TVSMOTOR|TVSMOTOR|TVS Motor Company Ltd.|INE494B01023|16647.06|586195|11276.36|476097
UBL|UBL|United Breweries Ltd.|INE686F01025|53834.58|2474641|50408.44|2474641
ULTRACEMCO|ULTRACEMCO|UltraTech Cement Ltd|INE481G01011|250690.18|2124133|263667.48|2307539
UNIONBANK|UNIONBANK|Union Bank of India|INE692A01016|15620.92|12723731|33459.19|27796952
UNITDSPR|UNITDSPR|United Spirits Limited|INE854D01024|53536.48|3367286|55310.31|3402769
VEDL|VEDL|Vedanta Limited|INE205A01025|26295.43|5129314|20130.54|4529314
WIPRO|WIPRO|Wipro  Ltd.|INE075A01022|36307.38|6705584|36859.41|12211168
ZYDUSLIFE|ZYDUSLIFE|Zydus Lifesciences Limited|INE010B01027|32570.49|3048102|37184.03|3826699
||364 Days Treasury Bills|IN002023Z331|198.96|200000||
||364 Days Treasury Bills|IN002023Z349|6458.1|6500000||
||364 Days Treasury Bills|IN002023Z364|2775.18|2800000||
||364 Days Treasury Bills|IN002023Z406|1479.51|1500000||
||364 Days Treasury Bills|IN002023Z430|||499.3|500000
||364 Days Treasury Bills|IN002023Z448|||1396.33|1400000
||364 Days Treasury Bills|IN002023Z455|||1992.31|2000000
||364 Days Treasury Bills|IN002023Z463|||5770.66|5800000
||364 Days Treasury Bills|IN002023Z489|||595.48|600000
||91 Days Treasury Bills|IN002024X284|||3490.82|3500000
||91 Days Treasury Bills|IN002024X300|||2188.87|2200000
||182 Days Treasury Bills|IN002024Y019|4198.54|4200000||
||182 Days Treasury Bills|IN002024Y027|698.78|700000||
||182 Days Treasury Bills|IN002024Y043|9960.15|10000000||
||182 Days Treasury Bills|IN002024Y092|3464.77|3500000||
||182 Days Treasury Bills|IN002024Y100|3460.56|3500000||
||182 Days Treasury Bills|IN002024Y142|||3599.37|3600000
||182 Days Treasury Bills|IN002024Y159|||1497.9|1500000
||182 Days Treasury Bills|IN002024Y167|||1994.4|2000000
||Grasim Industries Ltd.|IN9047A01029|940.49|50158|872.37|50158
||ZZZ! Cash / Derivatives / Balancing Num|IN9999999999|705641.3000000045||501845.9999999972|
||Dr. Reddys Laboratories Ltd.|INE089A01023|30342.5|449412||
