NSE_SYMBOL|BSE_SYMBOL|COMPANY_NAME_STD|ISIN|ICICI BLUCHIP FUND_2024-11-30_MARKET_VALUE|ICICI BLUCHIP FUND_2024-11-30_QUANTITY|ICICI BLUCHIP FUND_2024-12-31_MARKET_VALUE|ICICI BLUCHIP FUND_2024-12-31_QUANTITY
AMBUJACEM|AMBUJACEM|Ambuja Cements Ltd.|INE079A01024|10217.6|1922408|10300.26|1922408
ASIANPAINT|ASIANPAINT|Asian Paints Ltd.|INE021A01026|54711.93|2206482|50337.58|2206482
AUROPHARMA|AUROPHARMA|Aurobindo Pharma Ltd.|INE406A01037|29475.38|2334499|31153.89|2334499
AXISBANK|AXISBANK|AXIS Bank Ltd.|INE238A01034|266464.44|23450184|249674.11|23450184
BAJAJ-AUTO|BAJAJ-AUTO|Bajaj Auto Limited|INE917I01010|26170.48|289700|25489.54|289700
BANKBARODA|BANKBARODA|Bank Of Baroda|INE028A01039|28057.35|11386911|34666.56|14411372
BHARTIARTL|BHARTIARTL|Bharti Airtel  Ltd.|INE397D01024|279232.88|17160857|278093.62|17514950
BIRLACORPN|BIRLACORPN|Birla Corporation Ltd.|INE340A01012|2485.09|199999|2474.99|199999
BPCL|BPCL|Bharat Petroleum Corpn. Ltd.|INE029A01011|59324.63|20309699|59395.71|20309699
CIPLA|CIPLA|Cipla Ltd.|INE059A01026|4811.71|313691|9010.67|589318
COALINDIA|COALINDIA|Coal India Limited|INE522F01014|56829.01|13647698|54748|14251724
CUMMINSIND|CUMMINSIND|Cummins India Ltd.|INE298A01020|43470.31|1247820|50448.12|1540871
DLF|DLF|DLF LIMITED|INE271C01023|79721.27|9687256|78424.87|9507197
DMART|DMART|Avenue Supermarts Limited|INE192R01011|45934.57|1238262|44105.04|1238262
DRREDDY|DRREDDY|Dr. Reddys Laboratories Ltd.|INE089A01031|34563.78|2874805|41497.29|2988642
GAIL|GAIL|Gail (India) Ltd.|INE129A01019|3920.68|1965646|3753.99|1965646
GILLETTE|GILLETTE|Gillette India Ltd.|INE322A01010|6255.79|63752|5656.32|59209
GPPL|GPPL|Gujarat Pipavav Port Limited|INE517F01014|4831.3|2575730|4695.04|2575730
GRASIM|GRASIM|Grasim Industries Ltd|INE047A01021|16974.9|651315|13947.04|570968
HAL|HAL|Hindustan Aeronautics Limited|INE066F01020|38810.89|866924|36223.12|866924
HCLTECH|HCLTECH|HCL Technologies Ltd|INE860A01027|74689.16|4041512|74341.87|3877223
HDFCAMC|HDFCAMC|HDFC Asset Management Company Limited|INE127D01025|61470.93|1462114|61394.9|1462114
HDFCBANK|HDFCBANK|HDFC Bank Ltd.|INE040A01034|584474.08|32542194|576924.29|32542194
HDFCLIFE|HDFCLIFE|HDFC LIFE INSURANCE COMPANY LIMITED|INE795G01014|69941.83|10633497|65613.99|10633497
HEROMOTOCO|HEROMOTOCO|Hero MotoCorp Limited|INE158A01026|149011.21|3129370|130200.57|3129370
HINDALCO|HINDALCO|Hindalco Industries Ltd.|INE038A01020|58821.96|8964030|54003.8|8964030
HINDPETRO|HINDPETRO|Hindustan Petroleum Corporation Ltd|INE094A01015|24134.28|6299733|25750.16|6299733
HINDUNILVR|HINDUNILVR|Hindustan Unilever Ltd.|INE030A01027|6153.21|246508|5735.87|246508
HYUNDAI|HYUNDAI|HYUNDAI MOTOR INDIA LIMITED|INE0V6F01027|23026.89|1201476|21699.86|1201476
ICICIBANK|ICICIBANK|ICICI Bank Ltd.|INE090A01021|526780.24|40518440|519304.59|40518440
ICICIGI|ICICIGI|ICICI Lombard General Insurance Company Limited|INE765G01017|1042.17|55975|1000.69|55975
ICICIPRULI|ICICIPRULI|ICICI Prudential Life Insurance Company Limited|INE726G01019|114978.89|16433773|107616.56|16433773
INDIGO|INDIGO|InterGlobe Aviation Limited|INE646L01027|104500.04|2386445|108684.67|2386445
INFY|INFY|Infosys Ltd|INE009A01021|311577.4|16770859|315292.15|16770859
ISEC|ISEC|ICICI Securities Limited|INE763G01038|29256.53|3352608|28710.06|3352608
ITC|ITC|ITC Ltd|INE154A01025|131087.46|27496058|132984.68|27496058
