CATEGORY|DATE|BANK_NAME|ATM_CRM_ONSITE_NOS|ATM_CRM_OFFSITE_NOS|POS_NOS|MICRO_ATM_NOS|BHARAT_QR_CODES_NOS|UPI_QR_CODES_NOS|CREDIT_CARDS_NOS|DEBIT_CARDS_NOS|CREDIT_CARD_POS_TXN_VOLUME_NOS|CREDIT_CARD_POS_TXN_VALUE_AMT|CREDIT_CARD_ECOM_VOLUME_NOS|CREDIT_CARD_ECOM_VALUE_AMT|CREDIT_CARD_OTHERS_VOLUME_NOS|CREDIT_CARD_OTHERS_VALUE_AMT|CASH_WITHDRAWAL_ATM_VOLUME_NOS|CASH_WITHDRAWAL_ATM_VALUE_AMT|DEBIT_CARD_POS_TXN_VOLUME_NOS|DEBIT_CARD_POS_TXN_VALUE_AMT|DEBIT_CARD_ECOM_VOLUME_NOS|DEBIT_CARD_ECOM_VALUE_AMT|DEBIT_CARD_OTHERS_VOLUME_NOS|DEBIT_CARD_OTHERS_VALUE_AMT|CASH_WITHDRAWAL_ATM_VOLUME_NOS.1|CASH_WITHDRAWAL_ATM_VALUE_AMT.1|CASH_WITHDRAWAL_POS_VOLUME_NOS|CASH_WITHDRAWAL_POS_VALUE_AMT
Public Sector Banks|2024-10-31|BANK OF BARODA|8217|2256|44524|45506|20090|2181216|2879441|85976657|6630947|14538931.078|3155758|18018568.132|0|0.0|13747|69213.741|3831190|10230655.755820002|495918|2847639.8908199994|32|91.12|26899152|135255137.896|73|63.879
Public Sector Banks|2024-10-31|BANK OF INDIA|5335|2900|18276|19650|0|1196987|74208|39458415|145453|640192.61809|70566|336305.9894200001|0|0.0|9915|58490.153020000005|2584959|6139479.25061|584382|1210546.56433|0|0.0|17132325|73090438.018|258|261.096
Public Sector Banks|2024-10-31|BANK OF MAHARASHTRA|2143|238|1420|3160|355014|917389|31427|14313361|47765|231501.97796|17765|94232.18378|0|0.0|817|3955.8|1320600|3263128.68092|275752|662908.91597|6747|73612.00215|7284684|35032636.074729994|0|0.0
Public Sector Banks|2024-10-31|CANARA BANK|8298|3846|73960|13173|0|3137504|971250|58873044|1132576|4555340.16791|455896|2614457.77472|0|0.0|99282|557597.5|6387314|19030584.221|1022182|4015398.75984|3918|62357.142|33356296|162057139.199|63|54.785
Public Sector Banks|2024-10-31|CENTRAL BANK OF INDIA|2857|1144|3367|2775|31271|1788369|0|30178225|0|0.0|0|0.0|0|0.0|0|0.0|1623055|4457109.87258|212819|766130.302|0|0.0|9845634|47239167.208|3117|3215.669
Public Sector Banks|2024-10-31|INDIAN BANK|4607|614|20913|13141|0|2777361|274473|32899596|453017|2623298.88651|150815|1341722.5221600002|0|0.0|4724|37790.734|3771842|9354092.13093|679862|1498859.084|223|683.473|21222078|103113835.693|1134|1135.902
Public Sector Banks|2024-10-31|INDIAN OVERSEAS BANK|2763|738|0|0|0|406505|64247|19875176|74239|237440.65736|23663|88529.34823999999|0|0.0|2494|13392.63238|2611491|6057868.964149999|461416|1042663.1559|0|0.0|12963955|56110997.01368|0|0.0
Public Sector Banks|2024-10-31|PUNJAB AND SIND BANK|1052|28|859|1544|1005|142022|0|3582557|0|0.0|0|0.0|0|0.0|0|0.0|328778|920401.22376|107539|290854.73849|0|0.0|1603538|7985674.0|0|0.0
Public Sector Banks|2024-10-31|PUNJAB NATIONAL BANK|7809|4212|34460|0|679348|622964|550487|40750078|397367|1823785.24347|272087|1496896.83135|2|50.0|7802|24877.3|4516056|13010738.63472|1323201|3281536.27253|0|0.0|28154770|146189089.38321|0|0.0
Public Sector Banks|2024-10-31|STATE BANK OF INDIA|25447|37886|1467705|47076|955329|4433531|19807149|235164783|28058099|124287833.07048996|42871025|194208546.22034997|0|0.0|137860|590520.82918|34770694|93945174.46821|8540125|29469721.47184|980|12708.49246|179363378|957780418.8172|19260|19905.262520000004
Public Sector Banks|2024-10-31|UCO BANK|2246|228|10846|3568|289|1178127|0|12550951|0|0.0|0|0.0|0|0.0|0|0.0|1001291|2882543.8068600004|342747|812001.2558200001|976|18745.37422|7076416|33767669.621130005|198|192.93986
Public Sector Banks|2024-10-31|UNION BANK OF INDIA|7669|2022|48060|8015|296990|286694|735926|56447325|613506|2743855.04358|1567053|3291277.42072|0|0.0|11046|49310.59828|5084363|12556804.73754|1902998|4055135.9925600006|3210|12360.78275|48143885|148546193.577|1205|4161.56009
Private Sector Banks|2024-10-31|AXIS BANK LTD|6441|8038|1917154|541|683150|92603271|14771653|38535592|36035574|108590836.68810011|33696018|152111963.37994972|0|0.0|82861|404524.0|5098190|19073331.20503008|2174498|11499311.30822001|13457|351748.048|21098946|135316843.9271|0|0.0
Private Sector Banks|2024-10-31|BANDHAN BANK LTD|433|5|64052|0|13053|0|0|6057989|0|0.0|0|0.0|0|0.0|0|0.0|269733|983834.3826|82699|423128.6810000001|0|0.0|2582075|15030505.62|12|14.0
Private Sector Banks|2024-10-31|CITY UNION BANK LTD.|1166|520|7149|87213|0|76532|26716|2918680|62454|262840.647580009|23941|247042.485619998|0|0.0|303|1675.4|566952|1596370.0145|39359|131562.84666|0|0.0|2593641|14838934.42998|0|0.0
Private Sector Banks|2024-10-31|CSB BANK LTD.|726|44|0|0|14976|0|140107|900067|250484|816274.8391399999|1230515|1493463.34441|0|0.0|0|0.0|159552|335370.74135|12616|44667.8947|0|0.0|455881|2296609.7|0|0.0
Private Sector Banks|2024-10-31|DCB BANK LTD|425|5|7937|0|16260|0|19|860088|8|6.89407|6|9.333|0|0.0|4|5.0|82957|293488.11552|43497|168125.27411000003|262|6968.402|324440|1777316.018|0|0.0
Private Sector Banks|2024-10-31|DHANALAKSHMI BANK LTD|241|39|1488|0|0|35746|12886|561721|25902|61425.93727|6998|30862.5398|0|0.0|257|953.1|149625|295004.49907|6429|15982.81627|0|0.0|445868|1949931.76253|0|0.0
Private Sector Banks|2024-10-31|FEDERAL BANK LTD|1726|321|20333|589|0|5615425|1060476|13899539|2414333|7518528.39|1705260|9293612.168|0|0.0|5404|26696.7|2913955|7470268.477|1235538|4314698.456|3027|42173.836|8180401|41380640.245|47|47.0
Private Sector Banks|2024-10-31|HDFC BANK LTD|12222|8708|1667772|2521|2213445|758179|22646307|57605366|75104185|202519669.13183|36753679|333541363.59124|0|0.0|210268|1390147.6155599998|11099445|46159328.29795|7472584|37385961.7418|73382|1072241.17081|38958468|263883176.584|2139|2148.97238
Private Sector Banks|2024-10-31|ICICI BANK LTD|10050|6138|1709463|6244|595381|3648009|17700751|34156827|20714819|120147741.76715024|59456034|260651067.32606903|49|3542.527|70949|361850.53|6388811|29669853.5606702|3822971|21915099.06899998|6836|158020.79369999998|17534224|128635666.953|4|0.501
Private Sector Banks|2024-10-31|IDBI BANK LTD|2363|876|13619|1063|389|339068|39402|12125956|79078|363809.3213|62618|247245.6218|0|0.0|559|3450.6|1269896|3400114.6608200497|243208|754408.4323300105|0|0.0|5937493|30814525.42625|113|46.67
Private Sector Banks|2024-10-31|IDFC FIRST BANK LTD|905|331|43978|7650|0|108322|3145919|6708720|10541297|23505440.62|2079879|14262789.356|0|0.0|28214|134853.9|675625|2517960.62394|287004|2752735.28218|0|0.0|4305660|22076133.954|0|0.0
Private Sector Banks|2024-10-31|INDUSIND BANK LTD|1899|1114|247864|141|59703|6888250|3054496|11115757|4364524|56309426.521|7561350|38002603.347|0|0.0|24143|132467.708|789091|2588251.582|606047|3024081.287|837|54108.56051|4447591|27330537.154173|0|0.0
Private Sector Banks|2024-10-31|JAMMU AND KASHMIR BANK LTD|945|632|14324|942|0|552508|123943|4649990|196738|1763166.34328|101280|408633.09759|0|0.0|10081|44356.19903|947540|2741408.84482|937729|807068.83019|0|0.0|5809665|33557413.835|0|0.0
Private Sector Banks|2024-10-31|KARNATAKA BANK LTD|938|564|10600|0|0|103930|0|5463585|0|0.0|0|0.0|0|0.0|0|0.0|808678|1797993.8974199998|54650|161850.53633|0|0.0|4051478|19452415.957|0|0.0
Private Sector Banks|2024-10-31|KARUR VYSYA BANK LTD|1478|726|5055|0|0|44427|10374|5075894|28656|200858.70198999924|10388|139179.2503100001|0|0.0|736|5814.1|1069569|2898231.081720001|152141|712717.9606499999|0|0.0|4370026|22022958.20193|0|0.0
Private Sector Banks|2024-10-31|KOTAK MAHINDRA BANK LTD|1852|1482|78127|0|132824|643023|5207106|34762324|12385040|30400742.48287|4566739|43447737.14648|0|0.0|29594|146128.77831999998|2162542|6244293.044|1898837|6037198.098|0|0.0|11973298|61469358.38532997|0|0.0
Private Sector Banks|2024-10-31|NAINITAL BANK LTD|0|0|0|0|0|0|0|278460|0|0.0|0|0.0|0|0.0|0|0.0|15725|34823.45986|4929|14074.17838|0|0.0|80670|400701.4|0|0.0
Private Sector Banks|2024-10-31|RBL BANK LTD|371|35|1832773|0|3429|136971|5174424|1572432|5804522|33057494.726650003|5194635|45766336.742340006|0|0.0|38303|160161.60078|167649|552052.0293|97414|689316.06393|59|3923.944|606461|3240316.66|0|0.0
Private Sector Banks|2024-10-31|SOUTH INDIAN BANK|911|372|15066|0|38154|98131|391538|3787960|680261|2759627.14174|646005|4526888.5970600005|0|0.0|0|0.0|1028487|2654784.76855|178889|793915.40989|0|0.0|2932402|14731880.85512|0|0.0
