CATEGORY|DATE|BANK_NAME|ATM_CRM_ONSITE_NOS|ATM_CRM_OFFSITE_NOS|POS_NOS|MICRO_ATM_NOS|BHARAT_QR_CODES_NOS|UPI_QR_CODES_NOS|CREDIT_CARDS_NOS|DEBIT_CARDS_NOS|CREDIT_CARD_POS_TXN_VOLUME_NOS|CREDIT_CARD_POS_TXN_VALUE_AMT|CREDIT_CARD_ECOM_VOLUME_NOS|CREDIT_CARD_ECOM_VALUE_AMT|CREDIT_CARD_OTHERS_VOLUME_NOS|CREDIT_CARD_OTHERS_VALUE_AMT|CREDIT_CARD_CASH_WITHDRAWAL_ATM_VOLUME_NOS|CREDIT_CARD_CASH_WITHDRAWAL_ATM_VALUE_AMT|DEBIT_CARD_POS_TXN_VOLUME_NOS|DEBIT_CARD_POS_TXN_VALUE_AMT|DEBIT_CARD_ECOM_VOLUME_NOS|DEBIT_CARD_ECOM_VALUE_AMT|DEBIT_CARD_OTHERS_VOLUME_NOS|DEBIT_CARD_OTHERS_VALUE_AMT|DEBIT_CARD_CASH_WITHDRAWAL_ATM_VOLUME_NOS|DEBIT_CARD_CASH_WITHDRAWAL_ATM_VALUE_AMT|CASH_WITHDRAWAL_POS_VOLUME_NOS|CASH_WITHDRAWAL_POS_VALUE_AMT
Public Sector Banks|2025-07-31|BANK OF BARODA|8861|2407|55091|43579|24361|2718439|3045813|88282720|7679532|14548667543.0|3430891|18262063800.0|0|0.0|9552|49242600.0|2839388|6632110014.28|218825|2359268831.87|21|52315.0|21631501|108811780461.0|3|2200.0
Public Sector Banks|2025-07-31|BANK OF INDIA|5311|2510|18457|23779|0|1309127|82825|37409807|263969|855106055.11|67318|330242933.12|0|0.0|7375|38115847.09|2058545|4394048205.44|356095|915352257.86|0|0.0|14144823|59929468314.0|0|0.0
Public Sector Banks|2025-07-31|BANK OF MAHARASHTRA|2274|247|146|5862|355014|948288|24564|13434125|39653|182396815.85000002|17921|93539953.84999998|0|0.0|658|3219700.0|953287|2076983525.91|155565|544561675.26|6305|66211779.83|5603411|27241671880.5|0|0.0
Public Sector Banks|2025-07-31|CANARA BANK|7226|3555|78582|10333|0|3521610|1080246|60835984|1073065|4251507447.2899995|496340|3054026050.4100003|0|0.0|88360|510429700.0|5214987|14507021490.939995|842060|4750194067.0|4678|85463903.0|28102781|139743356270.0|3|560.0
Public Sector Banks|2025-07-31|CENTRAL BANK OF INDIA|2905|1196|3442|2776|37885|2032118|0|29110269|0|0.0|0|0.0|0|0.0|0|0.0|1157348|2873648497.9|180993|736347494.1|0|0.0|7572185|35959081718.0|12|111108.0
Public Sector Banks|2025-07-31|INDIAN BANK|4880|635|20000|15260|0|2631750|278926|33883402|202125|927233069.2199999|139725|1169896030.7|0|0.0|3902|32126038.0|2708677|6602295392.52|442142|1257707645.0|156|514456.0|18053010|90189361368.2|4|2600.0
Public Sector Banks|2025-07-31|INDIAN OVERSEAS BANK|2770|722|0|11082|0|485940|84552|19407344|171058|382438841.1|55111|175995747.1|0|0.0|3615|18754900.0|2134186|4903476955.24|245310|795974578.43|0|0.0|11328008|51068888667.340004|0|0.0
Public Sector Banks|2025-07-31|PUNJAB AND SIND BANK|1027|29|1076|1846|1227|195835|0|3631531|0|0.0|0|0.0|0|0.0|0|0.0|53422|195767201.0|121018|303305621.0|0|0.0|886503|4348031100.0|0|0.0
Public Sector Banks|2025-07-31|PUNJAB NATIONAL BANK|7351|3887|24241|0|774229|1227644|636907|41846616|354859|1608150743.12|254416|1648432869.44|6|356628.0|5313|17344300.0|3557981|9182088263.28|929160|2900155814.35|0|0.0|22147603|113779245725.63|0|0.0
Public Sector Banks|2025-07-31|STATE BANK OF INDIA|27575|34285|1632842|51562|1025230|5511973|21259594|244835303|25368113|113929701564.56|60549735|211632411358.45|0|0.0|121695|524329405.76|27853801|70707466861.72|6684519|23618242961.15|668|9173009.0|144879298|789695588979.1|10166|9414820.970999999
